aid,tid,capacity,role,charid,impid,voice,epid,sid
Beck Bennett,2019110213,cast,Robert,,,FALSE,20191102,45
Aidy Bryant,2019110213,cast,girl,,,FALSE,20191102,45
Mikey Day,2019110213,cast,guide,,,FALSE,20191102,45
Alex Moffat,2019110213,cast,guy,,,FALSE,20191102,45
Alec Baldwin,201910261,cameo,Donald Trump,,3692.0,FALSE,20191026,45
Fred Armisen,201910261,cameo,Recep Tayyip Erdogan,,4014.0,FALSE,20191026,45
Aidy Bryant,201910261,cast,follower,,,FALSE,20191026,45
Pete Davidson,201910261,cast,follower,,,FALSE,20191026,45
Mikey Day,201910261,cast,follower,,,FALSE,20191026,45
Chloe Fineman,201910261,cast,Raquel,,,FALSE,20191026,45
Darrell Hammond,201910261,cast,Bill Clinton,,1292.0,FALSE,20191026,45
Kate McKinnon,201910261,cast,Lindsey Graham,,3653.0,FALSE,20191026,45
Alex Moffat,201910261,cast,Mark Zuckerberg,,3875.0,FALSE,20191026,45
Cecily Strong,201910261,cast,Christine,,,FALSE,20191026,45
Chance the Rapper,201910262,host,,,,FALSE,20191026,45
Heidi Gardner,201910262,cast,,,,FALSE,20191026,45
Kyle Mooney,201910262,cast,,,,FALSE,20191026,45
Melissa Villasenor,201910262,cast,,,,FALSE,20191026,45
Chance the Rapper,201910263,host,Lazlo Holmes,1040.0,,FALSE,20191026,45
Mikey Day,201910263,cast,Doug Miller,,,FALSE,20191026,45
Chloe Fineman,201910263,cast,fan,,,FALSE,20191026,45
Steve Higgins,201910263,cast,announcer,,,TRUE,20191026,45
Kyle Mooney,201910263,cast,Mark Laramie,,,FALSE,20191026,45
Bowen Yang,201910263,cast,S3X Panda 99,,,FALSE,20191026,45
Chance the Rapper,201910264,host,Judge Barry,,,FALSE,20191026,45
Jason Momoa,201910264,cameo,Apollo Benz,,,FALSE,20191026,45
Beck Bennett,201910264,cast,announcer,,,TRUE,20191026,45
Aidy Bryant,201910264,cast,Judith Baker,,,FALSE,20191026,45
Mikey Day,201910264,cast,Andrew Wilson,,,FALSE,20191026,45
Kate McKinnon,201910264,cast,Gladys Feldman,,,FALSE,20191026,45
Alex Moffat,201910264,cast,bailiff,,,FALSE,20191026,45
Kyle Mooney,201910264,cast,plaintiff,,,FALSE,20191026,45
Ego Nwodim,201910264,cast,Patricia Jones,,,FALSE,20191026,45
Chris Redd,201910264,cast,LaDenzel Jenkins,,,FALSE,20191026,45
Kenan Thompson,201910264,cast,Trevor Frisbee,,,FALSE,20191026,45
Melissa Villasenor,201910264,cast,Joanne McCormick,,,FALSE,20191026,45
Bowen Yang,201910264,cast,plaintiff,,,FALSE,20191026,45
Chance the Rapper,201910265,host,Jason,,,FALSE,20191026,45
Mikey Day,201910265,cast,friend,,,FALSE,20191026,45
Heidi Gardner,201910265,cast,friend,,,FALSE,20191026,45
Cecily Strong,201910265,cast,announcer,,,TRUE,20191026,45
Melissa Villasenor,201910265,cast,friend,,,FALSE,20191026,45
Chance the Rapper,201910266,host,ghost,,,FALSE,20191026,45
Aidy Bryant,201910266,cast,ghost,,,FALSE,20191026,45
Mikey Day,201910266,cast,ghost,,,FALSE,20191026,45
Heidi Gardner,201910266,cast,girlfriend,,,FALSE,20191026,45
Kyle Mooney,201910266,cast,Tyler,,,FALSE,20191026,45
Kenan Thompson,201910266,cast,ghost,,,FALSE,20191026,45
Chance the Rapper,201910267,host,,,,FALSE,20191026,45
Darrell Hammond,201910268,cast,announcer,,,TRUE,20191026,45
Colin Jost,201910268,cast,,,,FALSE,20191026,45
Michael Che,201910268,cast,,,,FALSE,20191026,45
Alex Moffat,201910268,cast,Eric Trump,,3695.0,FALSE,20191026,45
Mikey Day,201910268,cast,Donald Trump Jr.,,3700.0,FALSE,20191026,45
Chance the Rapper,201910269,host,William,,,FALSE,20191026,45
Beck Bennett,201910269,cast,bartender,,,FALSE,20191026,45
Chloe Fineman,201910269,cast,waitress,,,FALSE,20191026,45
Heidi Gardner,201910269,cast,Beth,,,FALSE,20191026,45
Ego Nwodim,201910269,cast,friend,,,FALSE,20191026,45
Cecily Strong,201910269,cast,Jennifer,,,FALSE,20191026,45
Chance the Rapper,2019102610,host,astronaut,,,FALSE,20191026,45
Beck Bennett,2019102610,cast,astronaut,,,FALSE,20191026,45
Alex Moffat,2019102610,cast,director,,,FALSE,20191026,45
Kyle Mooney,2019102610,cast,Murphy,,,FALSE,20191026,45
Ego Nwodim,2019102610,cast,wife,,,FALSE,20191026,45
Cecily Strong,2019102610,cast,computer,,,TRUE,20191026,45
Bowen Yang,2019102610,cast,technician,,,FALSE,20191026,45
Chance the Rapper,2019102611,host,Trevor,,,FALSE,20191026,45
Aidy Bryant,2019102611,cast,Evelyn MacIntosh,,,FALSE,20191026,45
Pete Davidson,2019102611,cast,Trevor,,,FALSE,20191026,45
Kate McKinnon,2019102611,cast,Diana Krill,,,FALSE,20191026,45
Chris Redd,2019102611,cast,Trevor,,,FALSE,20191026,45
Chance the Rapper,2019102612,host,,,,FALSE,20191026,45
Megan Thee Stallion,2019102612,cameo,,,,FALSE,20191026,45
Chance the Rapper,2019102613,host,Brad,,,FALSE,20191026,45
Chloe Fineman,2019102613,cast,Trish,,,FALSE,20191026,45
Heidi Gardner,2019102613,cast,dancer,,,FALSE,20191026,45
Chris Redd,2019102613,cast,dancer,,,FALSE,20191026,45
Kenan Thompson,2019102613,cast,Tony Shalice,,,FALSE,20191026,45
Bowen Yang,2019102613,cast,dancer,,,FALSE,20191026,45
Billy Porter,201910121,cameo,,,,FALSE,20191012,45
Lin-Manuel Miranda,201910121,cameo,Julián Castro,,4013.0,FALSE,20191012,45
Woody Harrelson,201910121,cameo,Joe Biden,,4004.0,FALSE,20191012,45
Beck Bennett,201910121,cast,audience member,,,FALSE,20191012,45
Aidy Bryant,201910121,cast,audience member,,,FALSE,20191012,45
Steve Higgins,201910121,cast,announcer,,,TRUE,20191012,45
Colin Jost,201910121,cast,Pete Buttigieg,,4009.0,FALSE,20191012,45
Kate McKinnon,201910121,cast,Elizabeth Warren,,3756.0,FALSE,20191012,45
Alex Moffat,201910121,cast,Anderson Cooper,,3709.0,FALSE,20191012,45
Kyle Mooney,201910121,cast,Daniel,,,FALSE,20191012,45
Chris Redd,201910121,cast,Cory Booker,,3837.0,FALSE,20191012,45
Melissa Villasenor,201910121,cast,audience member,,,FALSE,20191012,45
Bowen Yang,201910121,cast,audience member,,,FALSE,20191012,45
David Harbour,201910122,host,,,,FALSE,20191012,45
Beck Bennett,201910122,cast,,,,FALSE,20191012,45
Aidy Bryant,201910122,cast,,,,FALSE,20191012,45
Pete Davidson,201910122,cast,,,,FALSE,20191012,45
Kate McKinnon,201910122,cast,,,,FALSE,20191012,45
Lorne Michaels,201910122,cast,,,,FALSE,20191012,45
Kenan Thompson,201910122,cast,,,,FALSE,20191012,45
David Harbour,201910123,host,Rupert,,,FALSE,20191012,45
Aidy Bryant,201910123,cast,Sabrina Kirpatsky,,,FALSE,20191012,45
Chloe Fineman,201910123,cast,Brittany,,,FALSE,20191012,45
Steve Higgins,201910123,cast,announcer,,,TRUE,20191012,45
Kate McKinnon,201910123,cast,Corinne,,,FALSE,20191012,45
Ego Nwodim,201910123,cast,Mrs. Polera,,,FALSE,20191012,45
Melissa Villasenor,201910123,cast,Dina M.,,,FALSE,20191012,45
Bowen Yang,201910123,cast,audience member,,,FALSE,20191012,45
David Harbour,201910124,host,Oscar,,,FALSE,20191012,45
Beck Bennett,201910124,cast,The Count,,,FALSE,20191012,45
Mikey Day,201910124,cast,Ernie,,,FALSE,20191012,45
Chloe Fineman,201910124,cast,Prairie Dawn,,,FALSE,20191012,45
Heidi Gardner,201910124,cast,Big Bird,,,FALSE,20191012,45
Alex Moffat,201910124,cast,Bert,,,FALSE,20191012,45
Ego Nwodim,201910124,cast,Susan Robinson,,,FALSE,20191012,45
Chris Redd,201910124,cast,Grover M.,,,FALSE,20191012,45
Kenan Thompson,201910124,cast,Snuffleupagus,,,FALSE,20191012,45
Melissa Villasenor,201910124,cast,Elmo,,,FALSE,20191012,45
Bowen Yang,201910124,cast,Guy Smiley,,,FALSE,20191012,45
David Harbour,201910125,host,Deacon,,,FALSE,20191012,45
Heidi Gardner,201910125,cast,Trix,,,FALSE,20191012,45
Kate McKinnon,201910125,cast,Kyle,,,FALSE,20191012,45
Alex Moffat,201910125,cast,Mark,,,FALSE,20191012,45
Ego Nwodim,201910125,cast,rider,,,FALSE,20191012,45
Cecily Strong,201910125,cast,instructor,,,FALSE,20191012,45
Bowen Yang,201910125,cast,Flint,,,FALSE,20191012,45
Camila Cabello,201910126,music,,,,FALSE,20191012,45
Darrell Hammond,201910127,cast,announcer,,,TRUE,20191012,45
Colin Jost,201910127,cast,,,,FALSE,20191012,45
Michael Che,201910127,cast,,,,FALSE,20191012,45
Heidi Gardner,201910127,cast,Bailey Gismert,1050.0,,FALSE,20191012,45
Pete Davidson,201910127,cast,,,,FALSE,20191012,45
David Harbour,201910128,host,Peter,,,FALSE,20191012,45
Aidy Bryant,201910128,cast,Murray,,,FALSE,20191012,45
Steve Higgins,201910128,cast,announcer,,,TRUE,20191012,45
Kate McKinnon,201910128,cast,Paula,,,FALSE,20191012,45
Alex Moffat,201910128,cast,Bob Rogers,,,FALSE,20191012,45
David Harbour,201910129,host,father,,,FALSE,20191012,45
Beck Bennett,201910129,cast,announcer,,,TRUE,20191012,45
Kyle Mooney,201910129,cast,son,,,FALSE,20191012,45
David Harbour,2019101210,host,Nona,,,FALSE,20191012,45
Kate McKinnon,2019101210,cast,Marco,,,FALSE,20191012,45
Kyle Mooney,2019101210,cast,grandson,,,FALSE,20191012,45
Cecily Strong,2019101210,cast,granddaughter,,,FALSE,20191012,45
Melissa Villasenor,2019101210,cast,granddaughter,,,FALSE,20191012,45
Camila Cabello,2019101211,music,,,,FALSE,20191012,45
David Harbour,2019101212,host,plaintiff,,,FALSE,20191012,45
Steve Higgins,2019101212,cast,announcer,,,TRUE,20191012,45
Kate McKinnon,2019101212,cast,defendant,,,FALSE,20191012,45
Alex Moffat,2019101212,cast,defendant,,,FALSE,20191012,45
Chris Redd,2019101212,cast,Artie Johnson,,,FALSE,20191012,45
Cecily Strong,2019101212,cast,Judge Connie Schaumberg,,,FALSE,20191012,45
Melissa Villasenor,2019101212,cast,plaintiff,,,FALSE,20191012,45
Matthew Broderick,201910051,cameo,Mike Pompeo,,4010.0,FALSE,20191005,45
Beck Bennett,201910051,cast,Mike Pence,,3703.0,FALSE,20191005,45
Aidy Bryant,201910051,cast,William Barr,,3979.0,FALSE,20191005,45
Mikey Day,201910051,cast,Adam Schiff,,4012.0,FALSE,20191005,45
Chloe Fineman,201910051,cast,aide,,,FALSE,20191005,45
Kate McKinnon,201910051,cast,Rudy Giuliani,,3882.0,FALSE,20191005,45
Alex Moffat,201910051,cast,Sauli Niinistö,,4011.0,FALSE,20191005,45
Kenan Thompson,201910051,cast,Ben Carson,,3599.0,FALSE,20191005,45
Phoebe Waller-Bridge,201910052,host,,,,FALSE,20191005,45
Phoebe Waller-Bridge,201910053,host,Carrie,,,FALSE,20191005,45
Aidy Bryant,201910053,cast,Gina,1086.0,,FALSE,20191005,45
Steve Higgins,201910053,cast,announcer,,,TRUE,20191005,45
Kyle Mooney,201910053,cast,Theo,,,FALSE,20191005,45
Kenan Thompson,201910053,cast,Elliott Pants,1087.0,,FALSE,20191005,45
Phoebe Waller-Bridge,201910054,host,Bella-Rosa,,,FALSE,20191005,45
Beck Bennett,201910054,cast,Finlay,,,FALSE,20191005,45
Beck Bennett,201910054,cast,announcer,,,TRUE,20191005,45
Aidy Bryant,201910054,cast,Mackenzie,,,FALSE,20191005,45
Chloe Fineman,201910054,cast,Siobhan,,,FALSE,20191005,45
Alex Moffat,201910054,cast,Charlie,,,FALSE,20191005,45
Chris Redd,201910054,cast,Amari,,,FALSE,20191005,45
Cecily Strong,201910054,cast,Grace,,,FALSE,20191005,45
Phoebe Waller-Bridge,201910055,host,Pam,,,FALSE,20191005,45
Alex Moffat,201910055,cast,anchor,,,FALSE,20191005,45
Ego Nwodim,201910055,cast,anchor,,,FALSE,20191005,45
Chris Redd,201910055,cast,Dennis Jones,,,FALSE,20191005,45
Kenan Thompson,201910055,cast,anchor,,,FALSE,20191005,45
Phoebe Waller-Bridge,201910056,host,Lydia Macintosh,,,FALSE,20191005,45
Beck Bennett,201910056,cast,narrator,,,TRUE,20191005,45
Mikey Day,201910056,cast,William Macintosh,,,FALSE,20191005,45
Steve Higgins,201910056,cast,announcer,,,TRUE,20191005,45
Taylor Swift,201910057,music,,,,FALSE,20191005,45
Darrell Hammond,201910058,cast,announcer,,,TRUE,20191005,45
Colin Jost,201910058,cast,,,,FALSE,20191005,45
Michael Che,201910058,cast,,,,FALSE,20191005,45
Kate McKinnon,201910058,cast,Elizabeth Warren,,3756.0,FALSE,20191005,45
Bowen Yang,201910058,cast,Chen Biao,1088.0,,FALSE,20191005,45
Mikey Day,201910058,cast,Mort Fellner,1078.0,,FALSE,20191005,45
Phoebe Waller-Bridge,201910059,host,"Abigail, Duchess of Clerkenwell",,,FALSE,20191005,45
Beck Bennett,201910059,cast,Prince Charles,,3884.0,FALSE,20191005,45
Chloe Fineman,201910059,cast,Duchess of Hertfordshire,,,FALSE,20191005,45
Steve Higgins,201910059,cast,announcer,,,TRUE,20191005,45
Kate McKinnon,201910059,cast,Prentis Popplewell,,,FALSE,20191005,45
Kenan Thompson,201910059,cast,Jimmy Jay Robinson,,,FALSE,20191005,45
Taylor Swift,2019100510,music,,,,FALSE,20191005,45
Lenny Pickett,2019100510,cast,,,,FALSE,20191005,45
Phoebe Waller-Bridge,2019100511,host,Janey,,,FALSE,20191005,45
Beck Bennett,2019100511,cast,Gerald,,,FALSE,20191005,45
Aidy Bryant,2019100511,cast,Kaylee,,,FALSE,20191005,45
Mikey Day,2019100511,cast,bartender,,,FALSE,20191005,45
Kate McKinnon,2019100511,cast,Janetta,,,FALSE,20191005,45
Cecily Strong,2019100511,cast,girl,,,FALSE,20191005,45
Alec Baldwin,201909281,cameo,Donald Trump,,3692.0,FALSE,20190928,45
Liev Schreiber,201909281,cameo,,,,FALSE,20190928,45
Beck Bennett,201909281,cast,Mike Pence,,3703.0,FALSE,20190928,45
Aidy Bryant,201909281,cast,William Barr,,3979.0,FALSE,20190928,45
Mikey Day,201909281,cast,Donald Trump Jr.,,3700.0,FALSE,20190928,45
Kate McKinnon,201909281,cast,Rudy Giuliani,,3882.0,FALSE,20190928,45
Alex Moffat,201909281,cast,Eric Trump,,3695.0,FALSE,20190928,45
Chris Redd,201909281,cast,Kanye West,,3788.0,FALSE,20190928,45
Cecily Strong,201909281,cast,Jeanine Pirro,,3571.0,FALSE,20190928,45
Kenan Thompson,201909281,cast,Don King,,2389.0,FALSE,20190928,45
Bowen Yang,201909281,cast,Kim Jong-un,,3981.0,FALSE,20190928,45
Woody Harrelson,201909282,host,,,,FALSE,20190928,45
Woody Harrelson,201909283,host,Joe Biden,,4004.0,FALSE,20190928,45
Larry David,201909283,cameo,Bernie Sanders,,3624.0,FALSE,20190928,45
Maya Rudolph,201909283,cameo,Kamala Harris,,4005.0,FALSE,20190928,45
Mikey Day,201909283,cast,Calvin Millett,,,FALSE,20190928,45
Chloe Fineman,201909283,cast,Marianne Williamson,,4008.0,FALSE,20190928,45
Steve Higgins,201909283,cast,announcer,,,TRUE,20190928,45
Colin Jost,201909283,cast,Pete Buttigieg,,4009.0,FALSE,20190928,45
Kate McKinnon,201909283,cast,Elizabeth Warren,,3756.0,FALSE,20190928,45
Alex Moffat,201909283,cast,Beto O'Rourke,,4006.0,FALSE,20190928,45
Ego Nwodim,201909283,cast,Denise Reynolds,,,FALSE,20190928,45
Chris Redd,201909283,cast,Cory Booker,,3837.0,FALSE,20190928,45
Cecily Strong,201909283,cast,Erin Burnett,,3725.0,FALSE,20190928,45
Melissa Villasenor,201909283,cast,audience member,,,FALSE,20190928,45
Bowen Yang,201909283,cast,Andrew Yang,,4007.0,FALSE,20190928,45
Woody Harrelson,201909284,host,Reese Hodder,,,FALSE,20190928,45
Aidy Bryant,201909284,cast,Lynette Hodder,,,FALSE,20190928,45
Mikey Day,201909284,cast,P. Ryan Hodder,,,FALSE,20190928,45
Heidi Gardner,201909284,cast,anchor,,,FALSE,20190928,45
Kyle Mooney,201909284,cast,anchor,,,FALSE,20190928,45
Cecily Strong,201909284,cast,Joanne Batting,,,FALSE,20190928,45
Kenan Thompson,201909284,cast,Mr. Huntington Booth,,,FALSE,20190928,45
Melissa Villasenor,201909284,cast,announcer,,,TRUE,20190928,45
Billie Eilish,201909285,music,,,,FALSE,20190928,45
Finneas,201909285,cameo,,,,FALSE,20190928,45
Darrell Hammond,201909286,cast,announcer,,,TRUE,20190928,45
Colin Jost,201909286,cast,,,,FALSE,20190928,45
Michael Che,201909286,cast,,,,FALSE,20190928,45
Kenan Thompson,201909286,cast,David Ortiz,,3470.0,FALSE,20190928,45
Woody Harrelson,201909287,host,coach,,,FALSE,20190928,45
Mikey Day,201909287,cast,player,,,FALSE,20190928,45
Heidi Gardner,201909287,cast,Trinity,,,FALSE,20190928,45
Alex Moffat,201909287,cast,game announcer,,,TRUE,20190928,45
Kyle Mooney,201909287,cast,player,,,FALSE,20190928,45
Chris Redd,201909287,cast,player,,,FALSE,20190928,45
Kenan Thompson,201909287,cast,player,,,FALSE,20190928,45
Woody Harrelson,201909288,host,Walter Dale,,,FALSE,20190928,45
Aidy Bryant,201909288,cast,Denise Craw,,,FALSE,20190928,45
Cecily Strong,201909288,cast,Connie Brasheres,,,FALSE,20190928,45
Kenan Thompson,201909288,cast,Quincy Maddox,,,FALSE,20190928,45
Beck Bennett,201909289,cast,Charles Carson,,,FALSE,20190928,45
Aidy Bryant,201909289,cast,maid,,,FALSE,20190928,45
Mikey Day,201909289,cast,messenger,,,FALSE,20190928,45
Chloe Fineman,201909289,cast,Edith Pelham,,,FALSE,20190928,45
Steve Higgins,201909289,cast,announcer,,,TRUE,20190928,45
Kate McKinnon,201909289,cast,Violet Crawley,,,FALSE,20190928,45
Alex Moffat,201909289,cast,Robert Crawley,,,FALSE,20190928,45
Cecily Strong,201909289,cast,Mary Talbot,,,FALSE,20190928,45
Bowen Yang,201909289,cast,servant,,,FALSE,20190928,45
Billie Eilish,2019092810,music,,,,FALSE,20190928,45
Finneas,2019092810,cameo,,,,FALSE,20190928,45
Woody Harrelson,2019092811,host,father,,,FALSE,20190928,45
Kyle Mooney,2019092811,cast,Scotty,,,FALSE,20190928,45
Chris Redd,2019092811,cast,Colby,,,FALSE,20190928,45
Woody Harrelson,2019092812,host,Hank,,,FALSE,20190928,45
Aidy Bryant,2019092812,cast,Deborah Chickham,,,FALSE,20190928,45
Steve Higgins,2019092812,cast,announcer,,,TRUE,20190928,45
Kate McKinnon,2019092812,cast,sister,,,FALSE,20190928,45
Chris Redd,2019092812,cast,customer,,,FALSE,20190928,45
Melissa Villasenor,2019092812,cast,customer,,,FALSE,20190928,45
Bowen Yang,2019092812,cast,customer,,,FALSE,20190928,45
Alec Baldwin,201905181,cameo,Donald Trump,,3692.0,FALSE,20190518,44
Robert DeNiro,201905181,cameo,Robert Mueller,,3878.0,FALSE,20190518,44
Beck Bennett,201905181,cast,Mike Pence,,3703.0,FALSE,20190518,44
Aidy Bryant,201905181,cast,Sarah Huckabee Sanders,,3780.0,FALSE,20190518,44
Mikey Day,201905181,cast,Donald Trump Jr.,,3700.0,FALSE,20190518,44
Kate McKinnon,201905181,cast,Wilbur Ross,,3943.0,FALSE,20190518,44
Alex Moffat,201905181,cast,Eric Trump,,3695.0,FALSE,20190518,44
Chris Redd,201905181,cast,Kanye West,,3788.0,FALSE,20190518,44
Cecily Strong,201905181,cast,Melania Trump,,3603.0,FALSE,20190518,44
Kenan Thompson,201905181,cast,Clarence Thomas,,4001.0,FALSE,20190518,44
Paul Rudd,201905182,host,,,,FALSE,20190518,44
Paul Rudd,201905183,host,Dex,,,FALSE,20190518,44
Aidy Bryant,201905183,cast,Dr. Markowitz,,,FALSE,20190518,44
Mikey Day,201905183,cast,Dr. Hanley,,,FALSE,20190518,44
Kate McKinnon,201905183,cast,Colleen Rafferty,1003.0,,FALSE,20190518,44
Cecily Strong,201905183,cast,Sharon,1002.0,,FALSE,20190518,44
Paul Rudd,201905184,host,,,,FALSE,20190518,44
DJ Khaled,201905184,music,,,,FALSE,20190518,44
Jacob Anderson,201905184,filmed,,,,FALSE,20190518,44
Jane Fonda,201905184,filmed,,,,FALSE,20190518,44
Lily Tomlin,201905184,filmed,,,,FALSE,20190518,44
Pete Davidson,201905184,cast,,,,FALSE,20190518,44
Kenan Thompson,201905184,cast,,,,FALSE,20190518,44
Paul Rudd,201905185,host,Louis,,,FALSE,20190518,44
Aidy Bryant,201905185,cast,Gina,1086.0,,FALSE,20190518,44
Pete Davidson,201905185,cast,Steven,,,FALSE,20190518,44
Steve Higgins,201905185,cast,announcer,,,TRUE,20190518,44
Kenan Thompson,201905185,cast,Elliott Pants,1087.0,,FALSE,20190518,44
DJ Khaled,201905186,music,,,,FALSE,20190518,44
Big Sean,201905186,cameo,,,,FALSE,20190518,44
J Balvin,201905186,cameo,,,,FALSE,20190518,44
Jeremih,201905186,cameo,,,,FALSE,20190518,44
Lil Baby,201905186,cameo,,,,FALSE,20190518,44
Lil Wayne,201905186,cameo,,,,FALSE,20190518,44
Meek Mill,201905186,cameo,,,,FALSE,20190518,44
Darrell Hammond,201905187,cast,announcer,,,TRUE,20190518,44
Colin Jost,201905187,cast,,,,FALSE,20190518,44
Michael Che,201905187,cast,,,,FALSE,20190518,44
Cecily Strong,201905187,cast,Jeanine Pirro,,3571.0,FALSE,20190518,44
Leslie Jones,201905187,cast,,,,FALSE,20190518,44
Paul Rudd,201905188,host,owner,,,FALSE,20190518,44
Kyle Mooney,201905188,cast,customer,,,FALSE,20190518,44
Cecily Strong,201905188,cast,customer,,,FALSE,20190518,44
Kenan Thompson,201905188,cast,guy,,,FALSE,20190518,44
Paul Rudd,201905189,host,Pete Buttigieg,,4002.0,FALSE,20190518,44
Beck Bennett,201905189,cast,announcer,,,TRUE,20190518,44
Beck Bennett,201905189,cast,Chasten Buttigieg,,4003.0,FALSE,20190518,44
Aidy Bryant,201905189,cast,Meghan McCain,,3889.0,FALSE,20190518,44
Leslie Jones,201905189,cast,Whoopi Goldberg,,3867.0,FALSE,20190518,44
Kate McKinnon,201905189,cast,Joy Behar,,3992.0,FALSE,20190518,44
Cecily Strong,201905189,cast,Abby Huntsman,,3991.0,FALSE,20190518,44
Melissa Villasenor,201905189,cast,Ana Navarro,,3993.0,FALSE,20190518,44
DJ Khaled,2019051810,music,,,,FALSE,20190518,44
Big Sean,2019051810,cameo,,,,FALSE,20190518,44
J Balvin,2019051810,cameo,,,,FALSE,20190518,44
Jeremih,2019051810,cameo,,,,FALSE,20190518,44
John Legend,2019051810,cameo,,,,FALSE,20190518,44
Lil Baby,2019051810,cameo,,,,FALSE,20190518,44
Lil Wayne,2019051810,cameo,,,,FALSE,20190518,44
Meek Mill,2019051810,cameo,,,,FALSE,20190518,44
Sza,2019051810,cameo,,,,FALSE,20190518,44
Paul Rudd,2019051811,host,,,,FALSE,20190518,44
Leslie Jones,2019051811,cast,,,,FALSE,20190518,44
Lorne Michaels,2019051811,cast,,,,FALSE,20190518,44
Kyle Mooney,2019051811,cast,,,,FALSE,20190518,44
Paul Rudd,2019051812,host,Mr. Sanderson,,,FALSE,20190518,44
Aidy Bryant,2019051812,cast,girl,,,FALSE,20190518,44
Heidi Gardner,2019051812,cast,Christine,,,FALSE,20190518,44
Kate McKinnon,2019051812,cast,girl,,,FALSE,20190518,44
Ego Nwodim,2019051812,cast,girl,,,FALSE,20190518,44
Cecily Strong,2019051812,cast,girl,,,FALSE,20190518,44
Melissa Villasenor,2019051812,cast,Bealthor,,,FALSE,20190518,44
Beck Bennett,201905111,cast,Mitch McConnell,,3901.0,FALSE,20190511,44
Kate McKinnon,201905111,cast,Lindsey Graham,,3653.0,FALSE,20190511,44
Kyle Mooney,201905111,cast,Chuck Todd,,3948.0,FALSE,20190511,44
Cecily Strong,201905111,cast,Susan Collins,,3902.0,FALSE,20190511,44
Emma Thompson,201905112,host,,,,FALSE,20190511,44
Amy Poehler,201905112,cameo,,,,FALSE,20190511,44
Tina Fey,201905112,cameo,,,,FALSE,20190511,44
Kenan Thompson,201905112,cast,,,,FALSE,20190511,44
Emma Thompson,201905113,host,Vivian Hargrave,,,FALSE,20190511,44
Beck Bennett,201905113,cast,official,,,FALSE,20190511,44
Heidi Gardner,201905113,cast,official,,,FALSE,20190511,44
Leslie Jones,201905113,cast,Shantay Thomas,,,FALSE,20190511,44
Emma Thompson,201905114,host,mother,,,FALSE,20190511,44
Mikey Day,201905114,cast,Nick,,,FALSE,20190511,44
Heidi Gardner,201905114,cast,daughter,,,FALSE,20190511,44
Emma Thompson,201905115,host,Hattie Smurves,,,FALSE,20190511,44
Steve Higgins,201905115,cast,announcer,,,TRUE,20190511,44
Kate McKinnon,201905115,cast,Anna Maxine Slant,,,FALSE,20190511,44
Alex Moffat,201905115,cast,director,,,FALSE,20190511,44
Kenan Thompson,201905115,cast,Reese De'What,922.0,,FALSE,20190511,44
Emma Thompson,201905116,host,Amanda Freitag,,3996.0,FALSE,20190511,44
Beck Bennett,201905116,cast,Ted Allen,,3999.0,FALSE,20190511,44
Aidy Bryant,201905116,cast,Alex Guarnaschelli,,3997.0,FALSE,20190511,44
Leslie Jones,201905116,cast,Georgina,,,FALSE,20190511,44
Alex Moffat,201905116,cast,Geoffrey Zakarian,,3998.0,FALSE,20190511,44
Melissa Villasenor,201905116,cast,Claire,,,FALSE,20190511,44
Emma Thompson,201905117,host,Judge Christina Miami,,,FALSE,20190511,44
Jonas Brothers,201905117,music,defendants,,,FALSE,20190511,44
Aidy Bryant,201905117,cast,Judge Marlene Wet,,,FALSE,20190511,44
Heidi Gardner,201905117,cast,plaintiff,,,FALSE,20190511,44
Steve Higgins,201905117,cast,announcer,,,TRUE,20190511,44
Kate McKinnon,201905117,cast,Judge Linda Christina,,,FALSE,20190511,44
Alex Moffat,201905117,cast,plaintiff,,,FALSE,20190511,44
Kyle Mooney,201905117,cast,defendant,,,FALSE,20190511,44
Chris Redd,201905117,cast,defendant,,,FALSE,20190511,44
Melissa Villasenor,201905117,cast,plaintiff,,,FALSE,20190511,44
Jonas Brothers,201905118,music,,,,FALSE,20190511,44
Darrell Hammond,201905119,cast,announcer,,,TRUE,20190511,44
Colin Jost,201905119,cast,,,,FALSE,20190511,44
Michael Che,201905119,cast,,,,FALSE,20190511,44
Heidi Gardner,201905119,cast,Bailey Gismert,1050.0,,FALSE,20190511,44
Pete Davidson,201905119,cast,,,,FALSE,20190511,44
Amy Davidson,201905119,cameo,,,,FALSE,20190511,44
Emma Thompson,2019051110,host,Mrs. Potts,,,FALSE,20190511,44
Beck Bennett,2019051110,cast,Beast,,,FALSE,20190511,44
Pete Davidson,2019051110,cast,Chafe,,,FALSE,20190511,44
Mikey Day,2019051110,cast,shake weight,,,FALSE,20190511,44
Steve Higgins,2019051110,cast,announcer,,,TRUE,20190511,44
Kyle Mooney,2019051110,cast,dumbbell,,,FALSE,20190511,44
Cecily Strong,2019051110,cast,Belle,,,FALSE,20190511,44
Kenan Thompson,2019051110,cast,kettle weight,,,FALSE,20190511,44
Melissa Villasenor,2019051110,cast,barbell,,,FALSE,20190511,44
Emma Thompson,2019051111,host,Dr. Jill,,,FALSE,20190511,44
Heidi Gardner,2019051111,cast,audience member,,,FALSE,20190511,44
Kate McKinnon,2019051111,cast,Tracy,,,FALSE,20190511,44
Ego Nwodim,2019051111,cast,Rae Rae,,,FALSE,20190511,44
